iteration,objective,nnz,nnz_eff,weighted_l1,sum_w
1,1088.8131118603183,397,397,0.9940385460266008,0.9906740791753135
2,1072.2251452206274,397,397,0.9924240836918863,0.9908177241893348
3,1051.6640872315056,397,397,0.990391604873509,0.990998724596371
4,1027.6942422203758,397,397,0.9879756864757672,0.9912141044885049
5,1000.8768724746622,397,397,0.985209230467163,0.9914610482550489
6,971.7792973589119,397,397,0.9821254184993508,0.9917367251416869
7,940.9701255467555,397,397,0.9787583278898694,0.9920382326578135
8,909.0098583077478,397,397,0.9751430551211668,0.9923625836677298
9,876.4400625281928,397,397,0.971315617150774,0.9927067131718943
10,843.7725897861395,397,397,0.9673127394297348,0.993067495124865
11,811.4796689728803,397,397,0.9631715823452537,0.9934417647176689
12,779.9853895480753,397,397,0.9589294341416446,0.9938263436549601
13,749.6589066524215,397,397,0.954623387389659,0.9942180669331177
14,720.809565482142,397,397,0.9502900104729559,0.9946138101226052
15,693.6840338540551,397,397,0.9459650224494445,0.995010516433454
16,668.4654388528295,397,397,0.9416829777633602,0.9954052230087644
17,645.2744226124164,397,397,0.9374769660389235,0.9957950860002923
18,624.1954600571677,396,396,0.9334045064685551,0.9961879618034777
19,605.4843155031599,397,396,0.9301844035464985,0.9965652351803566
20,589.0167232007497,397,395,0.9276437620711877,0.9969378629881208
21,574.6278439726368,397,395,0.9256094096377548,0.9973056796144506
22,562.1305703108028,397,396,0.9240035479182327,0.9976249005418941
23,551.1710311617791,397,396,0.9223779274180643,0.9979353524107326
24,541.6426374697072,397,397,0.9209665466844574,0.9982120741357272
25,533.2347702440162,397,397,0.9194702661305753,0.9984663112033094
26,525.7603527048404,397,394,0.9179024454606579,0.9986975136790708
27,519.0482839756021,396,394,0.9163027269336016,0.9989203856670021
28,513.0252893889825,396,394,0.9149896580113024,0.9991271996500746
29,507.38853514153277,396,392,0.9135267574118305,0.9992853952967733
30,502.0210417403483,397,392,0.9119072850378496,0.9994025441604674
31,496.922446959252,396,391,0.9104571679807119,0.9995324838180675
32,491.9746232342669,397,388,0.9090278430452516,0.9996187570038048
33,487.0568292969552,397,381,0.9074790137239593,0.9996927093984056
34,482.4210303219429,396,380,0.9064359072133564,0.9997102707182608
35,478.2708186795787,397,380,0.9066038305689086,0.9997480126314267
36,474.23916313858774,397,380,0.9069574466386999,0.9997666575377874
37,470.3405109734859,396,380,0.9075384356913132,0.9997654360021359
38,466.48222285760437,396,379,0.9080970001040123,0.9997582407047158
39,462.75535031151065,397,379,0.9087967209216656,0.9997130855283248
40,459.186491722882,396,377,0.9096904691650317,0.9996606324940669
41,455.696719767972,396,378,0.9105310689933701,0.999615157075332
42,452.3609732857468,394,378,0.9114361613037059,0.9995486212630816
43,449.24323591948405,396,377,0.9125408368267222,0.9994716573660241
44,446.3194539871083,397,378,0.9137465563986982,0.9993907651038346
45,443.5712153782341,397,380,0.915006545993662,0.9993360608061964
46,441.0018778538606,397,382,0.9162720210645585,0.9992639516155502
47,438.57681858149806,397,383,0.9174658112594154,0.9992005155410081
48,436.2877229397475,397,385,0.9185586800334038,0.9991379180180062
49,434.16954320419285,397,388,0.9196415051639437,0.9990593837174183
50,432.19220326638185,397,389,0.9206836141484875,0.9990015711587729
51,430.3349771268,397,388,0.9216323518055394,0.9989471127697636
52,428.61624984276114,397,388,0.9225679727357582,0.9989043613122286
53,427.01139184268993,397,388,0.9234290980436561,0.9988503834956826
54,425.4935409666688,397,387,0.9241951699241719,0.9988088142130134
55,424.0538654054955,397,387,0.9248609404016622,0.9987637981973092
56,422.7292269607684,397,387,0.9255769255123735,0.9987406019244438
57,421.4670642159102,396,386,0.9262025654921375,0.9987154621458667
58,420.29527445646926,396,386,0.9268614737625591,0.9987150553281152
59,419.18669848511945,396,383,0.9274726395187389,0.9987092553167529
60,418.10400198669623,396,382,0.9279469933489051,0.9986890336362926
61,417.02663701678483,395,379,0.9282766464717793,0.9986831941073011
62,415.9982067492114,395,378,0.9286096557383473,0.9987097193185033
63,415.0046118067967,396,377,0.9288741477906858,0.9987196788484273
64,414.01017640638673,395,376,0.9290057666252391,0.9987326909906828
65,413.049716881235,394,376,0.9291318923314983,0.9987636270381897
66,412.07299808403576,395,376,0.92909291422101,0.9987773438674314
67,411.06071178475395,394,376,0.9288638762188197,0.9987871317948878
68,410.0056000308241,392,371,0.9284386531497275,0.9987939929920023
69,408.9290379901174,393,371,0.9278817888226091,0.9987951824127232
70,407.8381478577908,392,368,0.927239180735252,0.9988055017381663
71,406.80023424948575,392,367,0.9266948707005509,0.9988186496703467
72,405.85464901421733,389,366,0.9263505279753939,0.9988286114367775
73,404.95630006462744,388,365,0.9261111543241745,0.9988470040730588
74,404.0674219311827,388,364,0.9258685884003746,0.9988655333049458
75,403.16701141275666,388,366,0.9255608107306166,0.9988767400763896
76,402.259829324012,386,368,0.9252002581241927,0.9988730355763911
77,401.36722585765375,385,367,0.9248550583501242,0.9988648551420629
78,400.504351558635,389,367,0.9245885065706447,0.9988718296434449
79,399.6586749958371,388,369,0.9243570194730308,0.9988857365055025
80,398.8029942908465,388,370,0.9240833272489244,0.9989016524138477
81,397.94413842108935,388,371,0.923776605944131,0.9989107019184567
82,397.08009813752085,388,371,0.9234436434083699,0.9989242813607488
83,396.2022412361659,388,370,0.9230544470279659,0.9989352389188741
84,395.3012298623962,389,370,0.9225867906382534,0.9989469407110985
85,394.39497522453644,387,370,0.9220831150141509,0.9989501009195988
86,393.4936468180965,388,370,0.921584782578091,0.9989596480240117
87,392.60932493822895,387,369,0.9211432249343827,0.998991929210304
88,391.728693620364,388,368,0.9206798365060282,0.9990025454488645
89,390.818225988505,387,366,0.9201139371242946,0.9990044713104329
90,389.91424069134405,386,365,0.9195456284973853,0.9990071305194078
91,389.02985381554225,388,365,0.918999185727641,0.999002814304987
92,388.13372034757685,387,366,0.9184075718412501,0.9990139531955045
93,387.26325537972895,388,366,0.9178446197012722,0.9990120590686911
94,386.3915331588222,387,364,0.917276811112594,0.9990401955730788
95,385.5100897813228,386,363,0.9166198562894401,0.9990388114532297
96,384.64197348466644,385,363,0.9159573041144093,0.9990297706422488
97,383.8349798155959,384,362,0.9154361352189386,0.999020185567332
98,383.0798108628342,385,362,0.915057353897979,0.999027462922002
99,382.3138423935118,385,363,0.9146195832806987,0.9990247907733397
100,381.5428537255123,383,364,0.9141348913218039,0.9990100978782774
101,380.76492480509904,384,362,0.9136179675362155,0.9990061464867042
102,379.9848250387553,383,361,0.9130570570217951,0.998995951020644
103,379.2441128059504,383,360,0.9125707482674101,0.9989899853656029
104,378.56312726851763,383,358,0.9122400354561484,0.9990016743235215
105,377.89605411195396,381,357,0.9119272679156236,0.9990105809982212
106,377.2654854745357,383,358,0.9117155596828909,0.9990306539731357
107,376.6257683920333,382,358,0.9114708191796477,0.9990423872078278
108,375.9539215704246,381,356,0.9110942594287597,0.9990226613362315
109,375.2553058192289,378,355,0.9106394542541452,0.9990189275517914
110,374.59555707665055,378,354,0.9102256595259183,0.998985554902976
111,374.0189950209544,379,354,0.9100240894155995,0.9989753921316693
112,373.427191433607,378,353,0.909752769693599,0.9989736097441215
113,372.84372133861007,378,353,0.9094612591792106,0.9989663062149463
114,372.25377358988584,375,351,0.9091229604164459,0.9989670508606238
115,371.72534597598076,376,351,0.9089211803439148,0.9989715821825247
116,371.1858441982776,375,351,0.9086588724739841,0.9989787550989803
117,370.6397527248952,373,349,0.9083276990248648,0.9989679444832231
118,370.09577217465716,372,349,0.9080092058167792,0.998997396410038
119,369.56644205434236,373,348,0.9076874643276078,0.9990157561874682
120,369.0245404820999,371,347,0.9072812033005486,0.9990152255802109
121,368.47933507797944,374,344,0.906834441376074,0.9990129907203859
122,367.9287327804053,372,344,0.9063773626891868,0.9990424478200651
123,367.3818871542541,372,341,0.9059061876146399,0.9990666578244343
124,366.852558712256,369,339,0.905489726385337,0.9991048594049693
125,366.3898993575965,367,337,0.905241282806649,0.9991232287791275
126,365.8983522544983,366,335,0.9049132928013235,0.9991381436493871
127,365.3896145077808,364,335,0.904518121280439,0.9991422470843965
128,364.89315100583894,363,335,0.9041704506374709,0.9991710835760521
129,364.3671048076116,363,333,0.9037204131887111,0.999182974655441
130,363.8517366250709,363,333,0.9032859555496742,0.9991866629418353
131,363.3565823907614,361,332,0.9028874165531745,0.9991853023553856
132,362.86492130183575,361,330,0.9024804853050716,0.9991818877457828
133,362.3772680463718,361,329,0.9020940284045467,0.9992006633340449
