ticker,asset_order
A,1
AAPL,2
ABBV,3
ABT,4
ACN,5
ADBE,6
ADI,7
ADM,8
ADP,9
ADSK,10
AEE,11
AEP,12
AES,13
AFL,14
AIG,15
AIZ,16
AJG,17
AKAM,18
ALB,19
ALGN,20
ALL,21
ALLE,22
AMAT,23
AMCR,24
AMD,25
AME,26
AMGN,27
AMP,28
AMT,29
AMZN,30
ANET,31
AON,32
AOS,33
APA,34
APD,35
APH,36
APTV,37
ARE,38
ATO,39
AVB,40
AVGO,41
AVY,42
AWK,43
AXP,44
AZO,45
BA,46
BAC,47
BAX,48
BBY,49
BDX,50
BEN,51
BF-B,52
BIIB,53
BK,54
BKNG,55
BKR,56
BLK,57
BMY,58
BR,59
BRK-B,60
BSX,61
BXP,62
C,63
CAG,64
CAH,65
CAT,66
CB,67
CBOE,68
CBRE,69
CCI,70
CCL,71
CDNS,72
CDW,73
CF,74
CFG,75
CHD,76
CHRW,77
CHTR,78
CI,79
CINF,80
CL,81
CLX,82
CMCSA,83
CME,84
CMG,85
CMI,86
CMS,87
CNC,88
CNP,89
COF,90
COO,91
COP,92
COST,93
CPB,94
CPRT,95
CRM,96
CSCO,97
CSX,98
CTAS,99
CTSH,100
CTVA,101
CVS,102
CVX,103
D,104
DAL,105
DD,106
DE,107
DG,108
DGX,109
DHI,110
DHR,111
DIS,112
DLR,113
DLTR,114
DOV,115
DOW,116
DRI,117
DTE,118
DUK,119
DVA,120
DVN,121
EA,122
EBAY,123
ECL,124
ED,125
EFX,126
EIX,127
EL,128
EMR,129
EOG,130
EQIX,131
EQR,132
ES,133
ESS,134
ETN,135
ETR,136
EVRG,137
EW,138
EXC,139
EXPD,140
EXPE,141
EXR,142
F,143
FANG,144
FAST,145
FCX,146
FDX,147
FE,148
FFIV,149
FIS,150
FITB,151
FOX,152
FOXA,153
FRT,154
FTNT,155
FTV,156
GD,157
GE,158
GILD,159
GIS,160
GL,161
GLW,162
GM,163
GOOG,164
GOOGL,165
GPC,166
GPN,167
GRMN,168
GS,169
GWW,170
HAL,171
HAS,172
HBAN,173
HCA,174
HD,175
HIG,176
HII,177
HLT,178
HOLX,179
HON,180
HPE,181
HPQ,182
HRL,183
HSIC,184
HST,185
HSY,186
HUM,187
IBM,188
ICE,189
IDXX,190
IEX,191
IFF,192
INCY,193
INTC,194
INTU,195
IP,196
IQV,197
IR,198
IRM,199
ISRG,200
IT,201
ITW,202
IVZ,203
J,204
JBHT,205
JCI,206
JKHY,207
JNJ,208
JPM,209
KEY,210
KEYS,211
KHC,212
KIM,213
KLAC,214
KMB,215
KMI,216
KO,217
KR,218
L,219
LDOS,220
LEN,221
LH,222
LHX,223
LIN,224
LLY,225
LMT,226
LNT,227
LOW,228
LRCX,229
LUV,230
LVS,231
LW,232
LYB,233
LYV,234
MA,235
MAA,236
MAR,237
MAS,238
MCD,239
MCHP,240
MCK,241
MCO,242
MDLZ,243
MDT,244
MET,245
MGM,246
MKC,247
MLM,248
MMC,249
MMM,250
MNST,251
MO,252
MOS,253
MPC,254
MRK,255
MS,256
MSCI,257
MSFT,258
MSI,259
MTB,260
MTD,261
MU,262
NCLH,263
NDAQ,264
NEE,265
NEM,266
NFLX,267
NI,268
NKE,269
NOC,270
NOW,271
NRG,272
NSC,273
NTAP,274
NTRS,275
NUE,276
NVDA,277
NVR,278
NWS,279
NWSA,280
O,281
ODFL,282
OKE,283
OMC,284
ORCL,285
ORLY,286
OXY,287
PAYX,288
PCAR,289
PEG,290
PEP,291
PFE,292
PFG,293
PG,294
PGR,295
PH,296
PHM,297
PKG,298
PLD,299
PM,300
PNC,301
PNR,302
PNW,303
PPG,304
PPL,305
PRU,306
PSA,307
PSX,308
PWR,309
PYPL,310
QCOM,311
RCL,312
REG,313
REGN,314
RF,315
RJF,316
RL,317
RMD,318
ROK,319
ROL,320
ROP,321
ROST,322
RSG,323
SBAC,324
SBUX,325
SCHW,326
SHW,327
SJM,328
SLB,329
SNA,330
SNPS,331
SO,332
SPG,333
SPGI,334
SRE,335
STE,336
STT,337
STX,338
STZ,339
SWK,340
SWKS,341
SYF,342
SYK,343
SYY,344
T,345
TAP,346
TDG,347
TEL,348
TFC,349
TGT,350
TJX,351
TMO,352
TMUS,353
TPR,354
TROW,355
TRV,356
TSCO,357
TSN,358
TTWO,359
TXN,360
TXT,361
UAL,362
UDR,363
UHS,364
ULTA,365
UNH,366
UNP,367
UPS,368
URI,369
USB,370
V,371
VLO,372
VMC,373
VRSK,374
VRSN,375
VRTX,376
VTR,377
VZ,378
WAB,379
WAT,380
WDC,381
WEC,382
WELL,383
WFC,384
WM,385
WMB,386
WMT,387
WRB,388
WY,389
WYNN,390
XEL,391
XOM,392
XYL,393
YUM,394
ZBH,395
ZBRA,396
ZTS,397
