hold,fit_start,fit_end,fit_n,hold_start,hold_end,hold_n
1,2020-01-03,2021-12-27,500,2021-12-28,2022-03-25,62
2,2020-04-02,2022-03-25,500,2022-03-28,2022-06-27,63
3,2020-07-02,2022-06-27,500,2022-06-28,2022-09-27,64
4,2020-10-02,2022-09-27,500,2022-09-28,2022-12-27,63
5,2021-01-04,2022-12-27,500,2022-12-28,2023-03-27,61
6,2021-04-01,2023-03-27,500,2023-03-28,2023-06-27,63
7,2021-07-01,2023-06-27,500,2023-06-28,2023-09-27,64
8,2021-10-01,2023-09-27,500,2023-09-28,2023-12-27,63
9,2021-12-31,2023-12-27,500,2023-12-28,2024-03-27,62
10,2022-03-31,2024-03-27,500,2024-03-28,2024-06-27,63
11,2022-07-01,2024-06-27,500,2024-06-28,2024-09-27,64
12,2022-10-03,2024-09-27,500,2024-09-30,2024-12-27,63
13,2023-01-03,2024-12-27,500,2024-12-30,2025-03-28,61
14,2023-03-31,2025-03-28,500,2025-03-31,2025-06-27,62
15,2023-06-30,2025-06-27,500,2025-06-30,2025-09-29,64
16,2023-10-02,2025-09-29,500,2025-09-30,2025-12-31,65
